Departure ID,Arrival ID,Departure Epoch,time-of-flight [s],Atom Delta-V [km/s],Lambert Delta-V [km/s]
16615,23561,2016-02-01 00:00:00.000000 UTC,39400,20.0297,24.6171
16615,23561,2016-02-01 00:00:00.000000 UTC,40800,24.1787,26.1344
16615,23561,2016-02-01 00:00:00.000000 UTC,44200,15.1057,15.0252
16615,23561,2016-02-01 00:00:00.000000 UTC,45400,20.4356,24.8747
16615,23561,2016-02-01 00:00:00.000000 UTC,51300,24.7762,24.8724
16615,23561,2016-02-01 00:00:00.000000 UTC,56300,17.5165,17.2596
16615,23561,2016-02-01 00:00:00.000000 UTC,62300,17.4219,17.0761
16615,23561,2016-02-01 00:00:00.000000 UTC,69600,21.5041,25.8637
16615,23561,2016-02-01 00:00:00.000000 UTC,74200,15.1391,15.0503
16615,23561,2016-02-01 00:00:00.000000 UTC,76300,28.3362,26.9697
16615,23561,2016-02-01 00:00:00.000000 UTC,76400,28.8088,27.0699
16615,23561,2016-02-01 00:00:00.000000 UTC,79600,21.5459,25.2729
16615,23561,2016-02-01 00:00:00.000000 UTC,79700,25.1318,25.0449
16615,23561,2016-02-01 00:00:00.000000 UTC,80200,15.1266,15.0235
16615,23561,2016-02-01 00:00:00.000000 UTC,98500,23.9499,23.3095
16615,23608,2016-02-01 00:00:00.000000 UTC,1500,17.7342,17.9099
16615,23608,2016-02-01 00:00:00.000000 UTC,4100,21.649,21.5285
16615,23608,2016-02-01 00:00:00.000000 UTC,4500,19.2523,19.3436
16615,23608,2016-02-01 00:00:00.000000 UTC,4700,18.358,18.4934
16615,23608,2016-02-01 00:00:00.000000 UTC,5900,17.4595,17.4916
16615,23608,2016-02-01 00:00:00.000000 UTC,7800,17.7618,17.9201
16615,23608,2016-02-01 00:00:00.000000 UTC,8100,17.3843,17.509
16615,23608,2016-02-01 00:00:00.000000 UTC,8400,17.3924,17.4302
16615,23608,2016-02-01 00:00:00.000000 UTC,9100,18.044,18.1666
16615,23608,2016-02-01 00:00:00.000000 UTC,10300,20.0298,19.0508
16615,23608,2016-02-01 00:00:00.000000 UTC,11000,17.0055,17.2095
16615,23608,2016-02-01 00:00:00.000000 UTC,11400,16.8477,17.0783
16615,23608,2016-02-01 00:00:00.000000 UTC,14800,17.508,17.5141
16615,23608,2016-02-01 00:00:00.000000 UTC,16100,18.5244,18.8693
16615,23608,2016-02-01 00:00:00.000000 UTC,16400,17.2066,17.7018
16615,23608,2016-02-01 00:00:00.000000 UTC,16700,16.7624,17.1707
16615,23608,2016-02-01 00:00:00.000000 UTC,17400,18.1537,16.7106
16615,23608,2016-02-01 00:00:00.000000 UTC,22700,16.2693,16.9476
16615,23608,2016-02-01 00:00:00.000000 UTC,27600,18.6867,19.093
16615,23608,2016-02-01 00:00:00.000000 UTC,27800,17.1214,18.1454
16615,23608,2016-02-01 00:00:00.000000 UTC,33500,17.4227,18.4792
16615,23608,2016-02-01 00:00:00.000000 UTC,33800,15.8833,17.4407
16615,23608,2016-02-01 00:00:00.000000 UTC,39700,22.0451,17.7635
16615,23608,2016-02-01 00:00:00.000000 UTC,41300,20.4648,18.8799
16615,23608,2016-02-01 00:00:00.000000 UTC,42400,17.4321,18.5125
16615,23608,2016-02-01 00:00:00.000000 UTC,47300,22.0881,20.5814
16615,23608,2016-02-01 00:00:00.000000 UTC,47800,20.276,20.4942
16615,23608,2016-02-01 00:00:00.000000 UTC,49200,18.3208,18.5055
16615,23608,2016-02-01 00:00:00.000000 UTC,51400,17.2088,18.5012
16615,23608,2016-02-01 00:00:00.000000 UTC,57600,23.0579,18.5158
16615,23608,2016-02-01 00:00:00.000000 UTC,58700,22.2595,20.0382
16615,23608,2016-02-01 00:00:00.000000 UTC,60700,23.4257,19.0569
16615,23608,2016-02-01 00:00:00.000000 UTC,62400,20.0137,20.3817
16615,23608,2016-02-01 00:00:00.000000 UTC,75100,23.466,19.1752
16615,23608,2016-02-01 00:00:00.000000 UTC,81400,20.1119,19.5242
16615,23608,2016-02-01 00:00:00.000000 UTC,82800,19.4026,20.0299
16615,23608,2016-02-01 00:00:00.000000 UTC,83200,21.3883,19.4279
16615,23608,2016-02-01 00:00:00.000000 UTC,83500,19.5905,19.4951
16615,23608,2016-02-01 00:00:00.000000 UTC,87500,21.4117,20.384
16615,23608,2016-02-01 00:00:00.000000 UTC,93600,23.6116,22.4832
16615,23608,2016-02-01 00:00:00.000000 UTC,99300,23.0031,21.8837
16615,25261,2016-02-01 00:00:00.000000 UTC,4400,25.2143,25.0939
16615,25261,2016-02-01 00:00:00.000000 UTC,5500,14.2412,14.341
16615,25261,2016-02-01 00:00:00.000000 UTC,5800,14.354,14.4637
16615,25261,2016-02-01 00:00:00.000000 UTC,6100,14.583,14.6966
16615,25261,2016-02-01 00:00:00.000000 UTC,8400,14.1805,14.2229
16615,25261,2016-02-01 00:00:00.000000 UTC,8600,14.3182,14.3462
16615,25261,2016-02-01 00:00:00.000000 UTC,9100,14.9252,14.943
16615,25261,2016-02-01 00:00:00.000000 UTC,9600,22.9526,16.1421
16615,25261,2016-02-01 00:00:00.000000 UTC,11100,13.8845,14.0042
16615,25261,2016-02-01 00:00:00.000000 UTC,11400,13.8119,13.9799
16615,25261,2016-02-01 00:00:00.000000 UTC,11800,13.9204,14.1232
16615,25261,2016-02-01 00:00:00.000000 UTC,15000,14.2066,14.3137
16615,25261,2016-02-01 00:00:00.000000 UTC,17300,13.6524,13.8496
16615,25261,2016-02-01 00:00:00.000000 UTC,17700,13.671,13.9361
16615,25261,2016-02-01 00:00:00.000000 UTC,17800,13.7055,13.9881
16615,25261,2016-02-01 00:00:00.000000 UTC,21200,14.2353,14.3695
16615,25261,2016-02-01 00:00:00.000000 UTC,23300,13.561,13.7855
16615,25261,2016-02-01 00:00:00.000000 UTC,23800,13.57,13.9089
16615,25261,2016-02-01 00:00:00.000000 UTC,27600,15.633,14.9502
16615,25261,2016-02-01 00:00:00.000000 UTC,29100,13.7269,13.82
16615,25261,2016-02-01 00:00:00.000000 UTC,29400,13.4524,13.7404
16615,25261,2016-02-01 00:00:00.000000 UTC,29500,13.4221,13.7493
16615,25261,2016-02-01 00:00:00.000000 UTC,32300,13.5278,13.7246
16615,25261,2016-02-01 00:00:00.000000 UTC,32400,13.4536,13.7183
16615,25261,2016-02-01 00:00:00.000000 UTC,32500,13.4081,13.7286
16615,25261,2016-02-01 00:00:00.000000 UTC,33200,13.6808,14.172
16615,25261,2016-02-01 00:00:00.000000 UTC,35200,13.5712,13.7537
16615,25261,2016-02-01 00:00:00.000000 UTC,35600,13.3438,13.7343
16615,25261,2016-02-01 00:00:00.000000 UTC,38500,14.1167,14.1816
16615,25261,2016-02-01 00:00:00.000000 UTC,42100,14.1049,14.4807
16615,25261,2016-02-01 00:00:00.000000 UTC,42400,14.2161,14.7541
16615,25261,2016-02-01 00:00:00.000000 UTC,44200,14.61,14.523
16615,25261,2016-02-01 00:00:00.000000 UTC,54100,14.8802,15.3228
16615,25261,2016-02-01 00:00:00.000000 UTC,58900,24.5885,27.1382
16615,25261,2016-02-01 00:00:00.000000 UTC,60600,16.1199,15.9132
16615,25261,2016-02-01 00:00:00.000000 UTC,66500,15.7808,16.0457
16615,25261,2016-02-01 00:00:00.000000 UTC,66800,16.4214,16.3865
16615,25261,2016-02-01 00:00:00.000000 UTC,73200,18.2667,17.7421
16615,25261,2016-02-01 00:00:00.000000 UTC,75300,16.0209,16.695
16615,25261,2016-02-01 00:00:00.000000 UTC,75800,19.1312,17.82
16615,25261,2016-02-01 00:00:00.000000 UTC,77000,27.2253,27.552
16615,25261,2016-02-01 00:00:00.000000 UTC,78100,21.4754,16.3893
16615,25261,2016-02-01 00:00:00.000000 UTC,79500,21.5336,20.334
16615,25261,2016-02-01 00:00:00.000000 UTC,81500,18.1531,17.2076
16615,25261,2016-02-01 00:00:00.000000 UTC,85100,17.6539,17.3665
16615,25261,2016-02-01 00:00:00.000000 UTC,85200,18.1494,17.7299
16615,25261,2016-02-01 00:00:00.000000 UTC,85500,20.8647,20.0315
16615,25261,2016-02-01 00:00:00.000000 UTC,87700,18.9313,17.7446
16615,25261,2016-02-01 00:00:00.000000 UTC,90700,16.8194,16.7991
16615,25261,2016-02-01 00:00:00.000000 UTC,91100,17.61,17.4003
16615,25261,2016-02-01 00:00:00.000000 UTC,98500,16.2632,15.9495
16615,25261,2016-02-01 00:00:00.000000 UTC,99000,17.1511,16.5109
16615,25979,2016-02-01 00:00:00.000000 UTC,3300,13.714,13.5274
16615,25979,2016-02-01 00:00:00.000000 UTC,5500,18.7312,18.2716
16615,25979,2016-02-01 00:00:00.000000 UTC,5600,18.3287,18.0663
16615,25979,2016-02-01 00:00:00.000000 UTC,7300,17.9526,17.9148
16615,25979,2016-02-01 00:00:00.000000 UTC,8800,14.1389,13.7636
16615,25979,2016-02-01 00:00:00.000000 UTC,11000,16.2351,16.0284
16615,25979,2016-02-01 00:00:00.000000 UTC,12700,20.5192,20.59
16615,25979,2016-02-01 00:00:00.000000 UTC,33200,16.1339,17.2753
16615,25979,2016-02-01 00:00:00.000000 UTC,33700,15.2337,15.3019
16615,25979,2016-02-01 00:00:00.000000 UTC,38100,14.7412,14.6445
16615,25979,2016-02-01 00:00:00.000000 UTC,39600,16.0095,15.5832
16615,25979,2016-02-01 00:00:00.000000 UTC,44500,20.5959,21.3796
16615,25979,2016-02-01 00:00:00.000000 UTC,50300,20.0293,21.4126
16615,25979,2016-02-01 00:00:00.000000 UTC,51200,16.7256,16.3292
16615,25979,2016-02-01 00:00:00.000000 UTC,57300,18.532,16.4725
16615,25979,2016-02-01 00:00:00.000000 UTC,59400,17.7389,18.2896
16615,25979,2016-02-01 00:00:00.000000 UTC,60300,16.0656,16.0304
