Departure ID,Arrival ID,Departure Epoch,time-of-flight [s],Atom Delta-V [km/s],Lambert Delta-V [km/s]
29093,39261,2016-02-01 00:00:00.000000 UTC,78000,29.6283,31.4786
16111,28255,2016-02-01 00:00:00.000000 UTC,3900,29.6417,29.6684
28255,16111,2016-02-01 00:00:00.000000 UTC,28900,29.7056,29.748
28255,16111,2016-02-01 00:00:00.000000 UTC,4100,29.7082,29.7241
28255,16111,2016-02-01 00:00:00.000000 UTC,1600,29.7343,29.7475
16111,39261,2016-02-01 00:00:00.000000 UTC,52200,29.7658,29.5758
39261,16111,2016-02-01 00:00:00.000000 UTC,69400,29.8084,30.8524
39261,29093,2016-02-01 00:00:00.000000 UTC,62600,29.8105,30.7474
39261,29093,2016-02-01 00:00:00.000000 UTC,78700,29.8146,31.4709
39261,28255,2016-02-01 00:00:00.000000 UTC,65800,29.8799,30.677
16111,29093,2016-02-01 00:00:00.000000 UTC,44600,29.8801,30.7879
28255,39261,2016-02-01 00:00:00.000000 UTC,4600,29.8878,29.8862
29093,28255,2016-02-01 00:00:00.000000 UTC,55900,29.8946,30.7489
16111,29093,2016-02-01 00:00:00.000000 UTC,1500,29.8995,29.9135
39261,16111,2016-02-01 00:00:00.000000 UTC,75300,29.968,31.4896
28255,29093,2016-02-01 00:00:00.000000 UTC,2700,29.9767,30.0798
39261,29093,2016-02-01 00:00:00.000000 UTC,90000,29.9914,31.6789
29093,28255,2016-02-01 00:00:00.000000 UTC,49800,30.0002,30.4015
29093,28255,2016-02-01 00:00:00.000000 UTC,3200,30.037,29.9165
28255,39261,2016-02-01 00:00:00.000000 UTC,48600,30.0453,30.4425
39261,28255,2016-02-01 00:00:00.000000 UTC,13000,30.0651,28.574
28255,16111,2016-02-01 00:00:00.000000 UTC,4300,30.1005,30.0998
29093,28255,2016-02-01 00:00:00.000000 UTC,3100,30.1133,29.9951
29093,39261,2016-02-01 00:00:00.000000 UTC,4400,30.1252,30.1357
29093,16111,2016-02-01 00:00:00.000000 UTC,6800,30.1278,29.0781
16111,28255,2016-02-01 00:00:00.000000 UTC,4200,30.1785,30.2163
39261,28255,2016-02-01 00:00:00.000000 UTC,1400,30.1794,30.1849
28255,39261,2016-02-01 00:00:00.000000 UTC,84000,30.1838,30.7826
28255,29093,2016-02-01 00:00:00.000000 UTC,81400,30.1917,31.1906
29093,39261,2016-02-01 00:00:00.000000 UTC,1400,30.1951,30.1602
39261,16111,2016-02-01 00:00:00.000000 UTC,8500,30.1953,30.2442
39261,29093,2016-02-01 00:00:00.000000 UTC,4400,30.2009,30.2027
16111,29093,2016-02-01 00:00:00.000000 UTC,12200,30.2029,29.8663
