Departure ID,Arrival ID,Departure Epoch,time-of-flight [s],Atom Delta-V [km/s],Lambert Delta-V [km/s]
29093,39261,2016-02-01 00:00:00.000000 UTC,196150,6.54668,6.3349
29093,16111,2016-02-01 00:00:00.000000 UTC,243490,6.55219,6.02343
29093,16111,2016-02-01 00:00:00.000000 UTC,181870,6.55368,6.24004
29093,16111,2016-02-01 00:00:00.000000 UTC,249070,6.55414,6.14812
39261,16111,2016-02-01 00:00:00.000000 UTC,218410,6.56261,6.80673
28255,29093,2016-02-01 00:00:00.000000 UTC,62110,6.57118,5.51803
29093,16111,2016-02-01 00:00:00.000000 UTC,237940,6.57145,5.80042
29093,39261,2016-02-01 00:00:00.000000 UTC,244480,6.58651,6.20489
29093,16111,2016-02-01 00:00:00.000000 UTC,193060,6.59073,6.33808
29093,16111,2016-02-01 00:00:00.000000 UTC,209860,6.60722,6.27423
39261,28255,2016-02-01 00:00:00.000000 UTC,253600,6.61136,6.21794
16111,28255,2016-02-01 00:00:00.000000 UTC,110320,6.63051,5.89631
29093,16111,2016-02-01 00:00:00.000000 UTC,260260,6.63163,6.21572
28255,16111,2016-02-01 00:00:00.000000 UTC,47650,6.64713,5.68604
16111,28255,2016-02-01 00:00:00.000000 UTC,98380,6.64871,5.87199
29093,39261,2016-02-01 00:00:00.000000 UTC,256540,6.64882,6.32654
39261,28255,2016-02-01 00:00:00.000000 UTC,265540,6.65573,6.2226
39261,16111,2016-02-01 00:00:00.000000 UTC,224020,6.65695,6.61312
29093,16111,2016-02-01 00:00:00.000000 UTC,237850,6.66458,6.31358
16111,29093,2016-02-01 00:00:00.000000 UTC,228280,6.67414,6.28804
29093,39261,2016-02-01 00:00:00.000000 UTC,226360,6.69553,6.20771
29093,16111,2016-02-01 00:00:00.000000 UTC,221050,6.70041,6.35685
39261,29093,2016-02-01 00:00:00.000000 UTC,222760,6.70507,7.33894
29093,16111,2016-02-01 00:00:00.000000 UTC,187450,6.71755,6.54281
16111,29093,2016-02-01 00:00:00.000000 UTC,239530,6.71794,6.76972
28255,29093,2016-02-01 00:00:00.000000 UTC,118480,6.72542,7.69974
39261,29093,2016-02-01 00:00:00.000000 UTC,256600,6.74284,6.76998
29093,16111,2016-02-01 00:00:00.000000 UTC,204250,6.74468,6.42836
29093,28255,2016-02-01 00:00:00.000000 UTC,190840,6.75729,6.31478
29093,16111,2016-02-01 00:00:00.000000 UTC,232240,6.77282,6.43384
29093,39261,2016-02-01 00:00:00.000000 UTC,129730,6.77733,6.33291
29093,16111,2016-02-01 00:00:00.000000 UTC,176260,6.78314,6.44469
29093,39261,2016-02-01 00:00:00.000000 UTC,232390,6.79719,6.27558
29093,39261,2016-02-01 00:00:00.000000 UTC,250510,6.80717,6.26544
16111,29093,2016-02-01 00:00:00.000000 UTC,279040,6.82166,6.13304
39261,28255,2016-02-01 00:00:00.000000 UTC,116350,6.82344,5.6037
29093,39261,2016-02-01 00:00:00.000000 UTC,135790,6.83241,6.01228
29093,39261,2016-02-01 00:00:00.000000 UTC,178060,6.83342,6.0741
29093,16111,2016-02-01 00:00:00.000000 UTC,243430,6.85527,6.50582
29093,39261,2016-02-01 00:00:00.000000 UTC,117670,6.85731,6.05303
29093,16111,2016-02-01 00:00:00.000000 UTC,293890,6.85982,6.11584
29093,39261,2016-02-01 00:00:00.000000 UTC,159940,6.86694,6.09282
29093,28255,2016-02-01 00:00:00.000000 UTC,155020,6.86913,6.30623
29093,28255,2016-02-01 00:00:00.000000 UTC,149050,6.86966,6.30713
29093,39261,2016-02-01 00:00:00.000000 UTC,202210,6.87679,6.14465
29093,28255,2016-02-01 00:00:00.000000 UTC,172930,6.88247,6.30767
16111,29093,2016-02-01 00:00:00.000000 UTC,262090,6.88801,6.53428
16111,29093,2016-02-01 00:00:00.000000 UTC,194470,6.88894,5.97619
29093,39261,2016-02-01 00:00:00.000000 UTC,184090,6.90295,6.16078
39261,28255,2016-02-01 00:00:00.000000 UTC,217750,6.90812,6.49268
29093,28255,2016-02-01 00:00:00.000000 UTC,160990,6.9164,6.30604
29093,39261,2016-02-01 00:00:00.000000 UTC,141820,6.92376,6.1301
29093,16111,2016-02-01 00:00:00.000000 UTC,198640,6.93056,6.6326
29093,16111,2016-02-01 00:00:00.000000 UTC,282700,6.9308,6.05864
29093,39261,2016-02-01 00:00:00.000000 UTC,268630,6.93904,6.26439
29093,39261,2016-02-01 00:00:00.000000 UTC,262570,6.95198,6.38828
29093,39261,2016-02-01 00:00:00.000000 UTC,165970,6.95527,6.19288
29093,28255,2016-02-01 00:00:00.000000 UTC,137170,6.95724,5.78371
29093,39261,2016-02-01 00:00:00.000000 UTC,141790,6.96776,6.60945
29093,28255,2016-02-01 00:00:00.000000 UTC,137110,6.96874,6.31111
29093,39261,2016-02-01 00:00:00.000000 UTC,208240,6.99163,6.22084
29093,39261,2016-02-01 00:00:00.000000 UTC,99550,6.99254,6.12379
29093,39261,2016-02-01 00:00:00.000000 UTC,123700,6.99647,6.19374
29093,39261,2016-02-01 00:00:00.000000 UTC,172000,7.00151,6.29295
16111,29093,2016-02-01 00:00:00.000000 UTC,250810,7.00707,6.63388
29093,39261,2016-02-01 00:00:00.000000 UTC,292750,7.01325,6.48764
29093,16111,2016-02-01 00:00:00.000000 UTC,209830,7.0348,6.71511
29093,39261,2016-02-01 00:00:00.000000 UTC,147850,7.04158,6.24715
29093,39261,2016-02-01 00:00:00.000000 UTC,214270,7.0427,6.29747
29093,39261,2016-02-01 00:00:00.000000 UTC,238420,7.05453,6.34403
28255,39261,2016-02-01 00:00:00.000000 UTC,6100,7.05571,8.91832
29093,39261,2016-02-01 00:00:00.000000 UTC,280660,7.05931,6.5781
39261,28255,2016-02-01 00:00:00.000000 UTC,152140,7.07469,5.99191
